field_name	field_location	data_type	units	field_description	allowable_enumeration
in.hvac_vent_type	metadata	string		A basic categorization of the HVAC ventilation type	None|DOAS+Zone terminal equipment|Central Single-zone RTU|Central Multi-zone VAV RTU|Residential forced air|Zone terminal equipment
in.interior_lighting_generation	metadata	string		The technology used for interior lighting in the building	gen2_t8_halogen|gen3_t5_cfl|gen4_led|gen5_led|gen1_t12_incandescent
in.number_of_stories	metadata	float		Building number of stories above grade	""
in.number_stories	metadata	string		Specifies the number of stories of the building	over_25
in.ownership_type	metadata	string		Type of organization or legal entity that owns the building	owner_occupied|federal|leased|local|state
in.party_responsible_for_operation	metadata	string		Who is responsible for the operation of the energy systems in the building	other|prop_manager|building_owner_or_tenant|building_owner
in.purchase_input_responsibility	metadata	string		Who has the most direct input on decisions regarding pruchases of energy-related equipment	building_owner|prop_manager|building_owner_or_tenant|other
in.rotation	metadata	float	degrees	Building Rotation off of North axis (positive value is clockwise)	""
in.sampling_region_id	metadata	integer		Region assigned through the sampling process	""
in.service_water_heating_fuel	metadata	string		Building primary service water heating fuel source	NaturalGas|DistrictHeating|Electricity|Propane|FuelOil
in.size_bin_id	metadata	integer		Size bin assigned through the sampling process - this is a function of building type	""
in.tstat_clg_delta_f	metadata	float	delta_f	Cooling thermostat unnoccupied setpoint temperature delta from primary occupied cooling setpoint. A value of '999' indicates default values were used for model	""
in.tstat_clg_sp_f	metadata	float	f	Cooling thermostat occupied setpoint. A value of '999' indicates default values were used for model	""
in.tstat_htg_delta_f	metadata	float	delta_f	Heating thermostat unnoccupied setpoint temperature delta from primary occupied heating setpoint. A value of '999' indicates default values were used for model	""
in.tstat_htg_sp_f	metadata	float	f	Heating thermostat occupied setpoint. A value of '999' indicates default values were used for model	""
in.vintage	metadata	string		A roughly decadal binning of building construction corresponding to CBECS 2018 vintage bins	1980 to 1989|1946 to 1959|1960 to 1969|2000 to 2012|Before 1946|2013 to 2018|1970 to 1979|1990 to 1999
in.wall_construction_type	metadata	string		The type of construction used for exterior walls	Metal Building|Mass|WoodFramed|SteelFramed
in.weekday_opening_time	metadata	float	hr	Building weekday start hour which impacts the start time of schedules	""
in.weekday_operating_hours	metadata	float	hr	Building duration of weekday hours of operation which influences duration of schedules	""
in.weekend_opening_time	metadata	float	hr	Building weekend start hour which impacts the start time of schedules	""
in.weekend_operating_hours	metadata	float	hr	Building duration of weekend hours of operation which influences duration of schedules	""
in.window_to_wall_ratio_category	metadata	string		The bin describing the building's window-to-wall ratio	2_10pct|_1pct|51_75pct|76_100pct|11_25pct|26_50pct
in.window_type	metadata	string		Type of windows in the model	Single - No LowE - Tinted/Reflective - Wood|Single - No LowE - Tinted/Reflective - Aluminum|Double - LowE - Tinted/Reflective - Thermally Broken Aluminum|Triple - LowE - Clear - Thermally Broken Aluminum|Double - No LowE - Tinted/Reflective - Aluminum|Double - LowE - Clear - Thermally Broken Aluminum|Double - LowE - Clear - Aluminum|Double - LowE - Tinted/Reflective - Aluminum|Double - No LowE - Clear - Aluminum|Triple - LowE - Tinted/Reflective - Thermally Broken Aluminum|Single - No LowE - Clear - Aluminum|Single - No LowE - Clear - Wood
in.year_built	metadata	string		Year of original building construction	""
out.district_cooling.cooling.energy_consumption	metadata	float	kwh	Building annual district cooling energy consumption for cooling end use	""
out.district_cooling.cooling.energy_savings	metadata	float	kwh	Building annual saving in district cooling energy for the cooling end use	""
out.district_cooling.total.energy_consumption	metadata	float	kwh	Building annual total site district cooling consumption	""
out.district_cooling.total.energy_savings	metadata	float	kwh	Building annual saving in district cooling energy for the total end use	""
out.district_heating.cooling.energy_consumption	metadata	float	kwh	Building annual district heating energy consumption for cooling end use	""
out.district_heating.cooling.energy_savings	metadata	float	kwh	Building annual saving in district heating energy for the cooling end use	""
out.district_heating.heating.energy_consumption	metadata	float	kwh	Building annual district heating energy consumption for heating end use	""
out.district_heating.heating.energy_savings	metadata	float	kwh	Building annual saving in district heating energy for the heating end use	""
out.district_heating.interior_equipment.energy_consumption	metadata	float	kwh	Building annual district heating energy consumption for interior equipment end use	""
out.district_heating.interior_equipment.energy_savings	metadata	float	kwh	Building annual saving in district heating energy for the interior equipment end use	""
out.district_heating.total.energy_consumption	metadata	float	kwh	Building annual total site district heating consumption	""
out.district_heating.total.energy_savings	metadata	float	kwh	Building annual saving in district heating energy for the total end use	""
out.district_heating.water_systems.energy_consumption	metadata	float	kwh	Building annual district service water heating energy consumption for water systems end use	""
out.district_heating.water_systems.energy_savings	metadata	float	kwh	Building annual saving in district heating energy for the water systems end use	""
out.electricity.cooling.energy_consumption	metadata	float	kwh	Building annual cooling electricity energy consumption	""
out.electricity.cooling.energy_savings	metadata	float	kwh	Building annual saving in electricity energy for the cooling end use	""
out.electricity.exterior_lighting.energy_consumption	metadata	float	kwh	Building annual exterior lighting electricity energy consumption	""
out.electricity.exterior_lighting.energy_savings	metadata	float	kwh	Building annual saving in electricity energy for the exterior lighting end use	""
out.electricity.fans.energy_consumption	metadata	float	kwh	Building annual fan electricity energy consumption	""
out.electricity.fans.energy_savings	metadata	float	kwh	Building annual saving in electricity energy for the fans end use	""
out.electricity.heat_recovery.energy_consumption	metadata	float	kwh	Building annual heat recovery electricity energy consumption	""
out.electricity.heat_recovery.energy_savings	metadata	float	kwh	Building annual saving in electricity energy for the heat recovery end use	""
out.electricity.heat_rejection.energy_consumption	metadata	float	kwh	Building annual heat rejection electricity energy consumption	""
out.electricity.heat_rejection.energy_savings	metadata	float	kwh	Building annual saving in electricity energy for the heat rejection end use	""
out.electricity.heating.energy_consumption	metadata	float	kwh	Building annual heating electricity energy consumption	""
out.electricity.heating.energy_savings	metadata	float	kwh	Building annual saving in electricity energy for the heating end use	""
out.electricity.interior_equipment.energy_consumption	metadata	float	kwh	Building annual interior equipment electricity energy consumption	""
out.electricity.interior_equipment.energy_savings	metadata	float	kwh	Building annual saving in electricity energy for the interior equipment end use	""
out.electricity.interior_lighting.energy_consumption	metadata	float	kwh	Building annual interior lighting electricity energy consumption	""
out.electricity.interior_lighting.energy_savings	metadata	float	kwh	Building annual saving in electricity energy for the interior lighting end use	""
out.electricity.pumps.energy_consumption	metadata	float	kwh	Building annual pump electricity energy consumption	""
out.electricity.pumps.energy_savings	metadata	float	kwh	Building annual saving in electricity energy for the pumps end use	""
out.electricity.refrigeration.energy_consumption	metadata	float	kwh	Building annual commercial refrigetation electricity energy consumption	""
out.electricity.refrigeration.energy_savings	metadata	float	kwh	Building annual saving in electricity energy for the refrigeration end use	""
out.electricity.total.apr.energy_consumption	metadata	float	kwh	Total electricity energy consumption during April	""
out.electricity.total.aug.energy_consumption	metadata	float	kwh	Total electricity energy consumption during August	""
out.electricity.total.dec.energy_consumption	metadata	float	kwh	Total electricity energy consumption during December	""
